TEMPERATURE_BUCKET,HAS_PRECIPITATION,HOURS_COUNT,TRIPS_COUNT,AVG_TRIPS_PER_HOUR,TOTAL_REVENUE,AVG_TRIP_AMOUNT,AVG_TEMPERATURE_2M_C,AVG_PRECIPITATION_MM,AVG_WIND_SPEED_10M_KMH
cool,FALSE,94,528772,5625.23,14626778.46,27.71,7.06,0,15.46
mild,TRUE,9,18160,2017.78,473230.28,34.14,13.36,4.13,34.82
cold,TRUE,79,311828,3947.19,8338563.36,27.97,2.67,0.63,15.59
cool,TRUE,53,197446,3725.40,5227313.12,27.31,7.77,1.05,19.37
cold,FALSE,212,861429,4063.34,23756018.06,28.92,2.27,0,11.28
freezing,TRUE,41,169036,4122.83,4688521.13,29.47,-2.33,0.32,11.9
freezing,FALSE,253,767622,3034.08,20823403.36,29.63,-3.6,0,13.79
mild,FALSE,3,8788,2929.33,230908,34.76,13.53,0,26.83
